Rank,School Name,Score
1,"Toc H PUBLIC SCHOOL, VYTTILA",0
2,KMJ PUBLIC SCHOOL NOCHIMA,0
3,"ST. ANN'S PUBLIC SCHOOL, ELOOR",0
4,The Charter School,0
5,Lady of Hope AIHS,0
6,CHRISTAVA MAHILALAYAM PUBLIC SCHOOL,0
7,"JEEVASS CMI CENTRAL SCHOOL, ALUVA",0
8,"St. Augustine's GHS, Kuzhuppilly",0
9,"SACRED HEART CMI PUBLIC SCHOOL, THEVARA",0
10,MOUNT TABOR SCHOOL KALAMASSERY,0
11,"CHRISTAVA MAHILALAYAM H S S, THOTTUMUGHAM, ALUVA",0
12,NAIPUNYA PUBLIC SCHOOL KOCHI,0
13,"ST TERESA'S CGHSS ,ERNAKULAM",0
14,"Hill Valley H S S,Thrikkakara",0
15,ST. JOSEPH'S E.M.H.S.S THRIKKAKARA,0
16,"AL-AMEEN PUBLIC SCHOOL, EDAPPALLY",0
17,Vidyodaya school Thevakkal,0
18,Mary Matha Public school,0
19,"Talent Public School, Narakkal",0
20,GLP SCHOOL PADIVATTOM,0
21,SDPY KPMHS EDAVANAKAD,0
22,"MARY MATHA HIGHER SECONDARY SCHOOL, THRIKKAKARA",0
23,AMRITA VIDYALAYAM ERNAKULAM,0
24,"Cresent Metric HSS, Thoothukudi",0
25,"Don Bosco HSS, Irinjalakuda",0
26,"Girideepam, Kottayam",0
27,"Govt. BHSS (S S), Kunnamkulam",0
28,"Govt. GHSS (S D), Kannur",0
29,"GOVT. PHSS (SH), MALAPPURAM ",0
30,"HOLY CROSS AIGHSS, THOOTUKUDI",0
31,"JYOTHI NIKETHAN, ALAPPUZHA",0
32,"LITTLE FLOWER, KORATTY",0
33,"MOUNT CARMEL, KOTTAYAM",0
34,"CARMEL PUBLIC SCHOOL, VAZHAKULAM, IDUKKI",0
35,"PROVIDENCE, KOZHIKODE",0
36,"SACRED HEART, THEVARA",0
37,"SILVER HILLS, KOZHIKODE",0
38,"ST. EPHREM'S, MANNANAM, KOTTAYAM",0
39,"ST. GORETTI'S, TRIVANDRUM",0
40,"ST. JOSEPH'S, PULINCUNNOO, ALAPPUZHA",0
41,"ST. JOSEPH'S, TRIVANDRUM",0
42,"RAJAGIRI HIGHER SECONDARY SCHOOL, KALAMASSERY",0
43,"RAJAGIRI PUBLIC SCHOOL, KALAMASSERY",0
44,"MSPHSS, MALAPPURAM",0
45,"MAR BASIL HSS, KOTHAMANGALAM",0
46,"KENDRIYA VIDYALAYA PORT TRUST, KOCHI",0
47,GHSS PANAMPILLY,0
48,"CARDINAL HSS, THRIKKAKARA",0
49,"LITTLE FLOWER CONVENT HSS, KORATTY",0
50,"CHALDEAN SYRIAN HSS, THRISSUR",0
51,"MTMHSS PAMPAKUDA, PIRAVOM",0
52,"SACRED HEART HSS, THEVARA",0
53,BHAVAN'S NEWSPRINT VIDYALAYA VELLOOR,0
